2024-06-10 10:37:36 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:36 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:36 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:36 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:36 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:36 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:36 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:37 class WriteCommand            	ADDR:0 0x12345678
2024-06-10 10:37:37 class WriteCommand            	ADDR:1 0x12345678
2024-06-10 10:37:37 class WriteCommand            	ADDR:2 0x12345678
2024-06-10 10:37:37 class WriteCommand            	ADDR:3 0x12345678
2024-06-10 10:37:37 class WriteCommand            	ADDR:4 0x12345678
2024-06-10 10:37:39 class ReadCommand             	0
2024-06-10 10:37:39 class TestScript.testScriptApp	testapp2	:FAIL
2024-06-10 10:37:44 class FlushCommand            	flush
2024-06-10 11:16:07 class ReadCommand             	10
2024-06-10 11:26:38 class ReadCommand             	99
